dataset,traffic_condition,design,source_events,input_events,input_transactions,source_to_interface_coalesced,accepted_events,accepted_transactions,backpressured_events,backpressured_transactions,unintended_loss,output_words,output_bits,words_per_input_event,words_per_accepted_event,bits_per_accepted_event,mean_latency_cycles,p99_latency_cycles,throughput_events_per_cycle,max_pending_tiles,row_packets,bank_packets,sparse_packets,raw8_count,group3_count,bin4_count,bin_pair_words,bank_mode_fraction,sparse_mode_fraction,row_mode_fraction,backpressure_cycles,elapsed_cycles
UZH shapes_rotation,1x,raw_baseline,92861,92861,92772,0,92861,92772,0,0,0,278066,4449056,2.994432538956074,2.994432538956074,47.91092062329719,2.131002250675741,5,0.0004949769838447617,4,92647,0,0,92772,0,0,0,0.0,0.0,1.0,0,187606703
UZH shapes_rotation,1x,team_second,92861,92861,92772,0,92861,92772,0,0,0,278066,4449056,2.994432538956074,2.994432538956074,47.91092062329719,2.131002250675741,5,0.0004949769838447617,4,92647,0,0,92772,0,0,0,0.0,0.0,1.0,0,187606703
UZH shapes_rotation,1x,current_adaptive,92861,92861,92772,0,92861,92772,0,0,0,185633,2970128,1.9990415782729025,1.9990415782729025,31.98466525236644,1.0911685206922175,3,0.0004949769864831375,4,89,0,92683,0,0,0,0,0.0,0.9990406588194713,0.0009593411805286077,0,187606702
UZH shapes_rotation,10x,raw_baseline,92861,92861,92772,0,92861,92772,0,0,0,278066,4449056,2.994432538956074,2.994432538956074,47.91092062329719,2.131045325809543,5,0.004949769126086255,4,92647,0,0,92772,0,0,0,0.0,0.0,1.0,0,18760673
UZH shapes_rotation,10x,team_second,92861,92861,92772,0,92861,92772,0,0,0,278066,4449056,2.994432538956074,2.994432538956074,47.91092062329719,2.131045325809543,5,0.004949769126086255,4,92647,0,0,92772,0,0,0,0.0,0.0,1.0,0,18760673
UZH shapes_rotation,10x,current_adaptive,92861,92861,92772,0,92861,92772,0,0,0,185633,2970128,1.9990415782729025,1.9990415782729025,31.98466525236644,1.0911685206922175,3,0.004949769389923773,4,89,0,92683,0,0,0,0,0.0,0.9990406588194713,0.0009593411805286077,0,18760672
UZH shapes_rotation,100x,raw_baseline,92861,92861,92771,0,92791,92702,70,69,0,277858,4445728,2.992192631998363,2.994449892769773,47.91119828431637,2.562845534588484,8,0.04946030798424366,15,92578,0,0,92702,0,0,0,0.0,0.0,1.0,0,1876070
UZH shapes_rotation,100x,team_second,92861,92861,92771,0,92791,92702,70,69,0,277858,4445728,2.992192631998363,2.994449892769773,47.91119828431637,2.562845534588484,8,0.04946030798424366,15,92578,0,0,92702,0,0,0,0.0,0.0,1.0,0,1876070
UZH shapes_rotation,100x,current_adaptive,92861,92861,92771,0,92806,92717,55,54,0,185523,2968368,1.9978570120933439,1.9990410102795078,31.984656164472124,1.2537659203068767,4,0.04946832978957597,13,89,0,92628,0,0,0,0,0.0,0.9990400897354315,0.0009599102645685257,0,1876069
UZH shapes_rotation,500x,raw_baseline,92861,92861,92718,0,78430,78307,14431,14411,0,233149,3730384,2.5107310927084567,2.972701772281015,47.56322835649624,51.38591100344256,303,0.20896556317857856,71,77421,0,0,78307,0,0,0,0.0,0.0,1.0,0,375325
UZH shapes_rotation,500x,team_second,92861,92861,92718,0,78430,78307,14431,14411,0,233149,3730384,2.5107310927084567,2.972701772281015,47.56322835649624,51.38591100344256,303,0.20896556317857856,71,77421,0,0,78306,1,0,0,0.0,0.0,1.0,0,375325
UZH shapes_rotation,500x,current_adaptive,92861,92861,92718,0,91636,91493,1225,1225,0,183106,2929696,1.9718288624934042,1.99818848487494,31.97101575799904,8.350528176699115,76,0.24421093027532226,49,145,17,91272,0,0,0,0,0.0001859264606164009,0.9982282301988319,0.0015858433405516548,0,375233
UZH shapes_rotation,1000x,raw_baseline,92861,92861,92669,0,46610,46510,46251,46159,0,136626,2186016,1.4712958077126026,2.9312593863977687,46.9001501823643,145.14282342844882,502,0.24812746543729738,111,45058,0,0,46510,0,0,0,0.0,0.0,1.0,0,187847
UZH shapes_rotation,1000x,team_second,92861,92861,92669,0,46610,46510,46251,46159,0,136626,2186016,1.4712958077126026,2.9312593863977687,46.9001501823643,145.14282342844882,502,0.24812746543729738,111,45058,0,0,46509,1,0,0,0.0,0.0,1.0,0,187847
UZH shapes_rotation,1000x,current_adaptive,92861,92861,92669,0,63458,63327,29403,29342,0,126665,2026640,1.3640279557618376,1.9960446279428914,31.936714047086262,149.38397050017335,2577,0.3377563457720578,194,198,39,62825,0,0,0,0,0.0006184389965430846,0.9962417937902381,0.0031397672132187373,0,187881
UZH shapes_rotation,2000x,raw_baseline,92861,92861,92569,0,26629,26563,66232,66006,0,76837,1229392,0.8274410139886497,2.8854632167937213,46.16741146869954,208.41559953434225,644,0.28289298955710657,143,25137,0,0,26563,0,0,0,0.0,0.0,1.0,0,94131
UZH shapes_rotation,2000x,team_second,92861,92861,92569,0,26629,26563,66232,66006,0,76837,1229392,0.8274410139886497,2.8854632167937213,46.16741146869954,208.41559953434225,644,0.28289298955710657,143,25137,0,0,26562,1,0,0,0.0,0.0,1.0,0,94131
UZH shapes_rotation,2000x,current_adaptive,92861,92861,92569,0,36277,36174,56584,56395,0,72354,1157664,0.7791645577799076,1.994486864955757,31.911789839292112,320.47928439507126,5051,0.3845958123509144,338,182,5,35801,0,0,0,0,0.0001389352006224297,0.9948038234967211,0.005057241302656441,0,94325
UZH shapes_rotation,5000x,raw_baseline,92861,92861,92181,0,12572,12503,80289,79678,0,35015,560240,0.37706895252043376,2.7851574928412344,44.56251988545975,288.28849825007956,832,0.33142646244694596,205,11256,0,0,12503,0,0,0,0.0,0.0,1.0,0,37933
UZH shapes_rotation,5000x,team_second,92861,92861,92181,0,12572,12503,80289,79678,0,35015,560240,0.37706895252043376,2.7851574928412344,44.56251988545975,288.28849825007956,832,0.33142646244694596,205,11256,0,0,12503,0,0,0,0.0,0.0,1.0,0,37933
UZH shapes_rotation,5000x,current_adaptive,92861,92861,92181,0,17165,17093,75696,75088,0,34207,547312,0.3683677754924026,1.9928342557529857,31.88534809204777,504.7872997378386,4710,0.44793841336116913,529,110,2,16888,0,0,0,0,0.00011764705882352942,0.9934117647058823,0.006470588235294118,0,38320
